GAME_ID,TEAM_ABBREVIATION,PLAYER_ID,PLAYER_NAME,MIN,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,REB,AST,STL,BLK,TOV,PF
0022300062,GSW,1627780,Gary Payton II,21.666666666666668,1,0,5,0,2,1,2,2,2,3,0,0,1
0022300062,GSW,1630541,Moses Moody,17.983333333333334,11,4,6,2,4,1,2,3,0,3,1,1,1
0022300062,GSW,203967,Dario Šarić,20.03333333333333,7,3,11,1,3,0,0,7,1,0,2,0,3
0022300062,GSW,202709,Cory Joseph,3.7,0,0,0,0,0,0,0,1,1,0,0,0,0
0022300069,MIN,1629638,Nickeil Alexander-Walker,22.633333333333333,2,1,5,0,3,0,0,4,2,1,0,1,3
0022300069,MIN,1626157,Karl-Anthony Towns,35.96666666666667,19,8,25,2,10,1,1,10,3,0,4,4,2
0022300069,MIN,203497,Rudy Gobert,32.0,15,6,12,0,0,3,5,13,1,2,4,2,3
0022300069,MIN,1630162,Anthony Edwards,38.3,26,8,27,4,7,6,6,14,1,0,0,2,1
0022300069,MIN,201144,Mike Conley,30.516666666666666,11,4,9,1,4,2,2,4,3,1,1,1,1
0022300069,MIN,203937,Kyle Anderson,30.316666666666663,7,3,9,0,1,1,2,9,5,2,0,1,0
0022300069,MIN,1629003,Shake Milton,21.266666666666666,4,1,5,1,4,1,2,3,4,2,0,2,4
0022300069,MIN,1629675,Naz Reid,23.766666666666666,10,3,8,0,2,4,4,4,1,0,0,1,0
0022300069,MIN,1628972,Troy Brown Jr.,5.25,0,0,0,0,0,0,0,1,0,0,0,0,0
0022300069,TOR,1628384,OG Anunoby,33.8,20,7,13,4,9,2,2,6,1,2,3,2,2
0022300069,TOR,1627783,Pascal Siakam,34.083333333333336,15,5,17,3,5,2,2,7,6,1,0,2,2
0022300069,TOR,1627751,Jakob Poeltl,23.716666666666665,7,3,3,0,0,1,4,11,1,1,1,0,1
0022300069,TOR,1630567,Scottie Barnes,37.05,17,6,16,1,4,4,6,8,5,2,5,4,1
0022300069,TOR,203471,Dennis Schröder,32.55,22,8,17,4,8,2,2,3,7,0,0,2,1
0022300069,TOR,1629018,Gary Trent Jr.,26.7,5,2,8,1,4,0,0,2,2,1,1,0,3
0022300069,TOR,1630173,Precious Achiuwa,24.28333333333333,8,4,9,0,1,0,0,8,0,0,0,2,1
0022300069,TOR,1629667,Jalen McDaniels,16.15,0,0,3,0,3,0,0,2,2,1,1,0,2
0022300069,TOR,1630201,Malachi Flynn,9.55,3,1,3,1,1,0,0,0,2,1,0,2,4
0022300069,TOR,1641711,Gradey Dick,2.1166666666666667,0,0,1,0,0,0,0,0,1,0,0,0,1
0022300063,ATL,1629631,De'Andre Hunter,31.0,9,4,9,1,4,0,1,4,1,0,0,0,6
0022300063,ATL,1630180,Saddiq Bey,28.85,15,6,12,1,4,2,2,5,0,5,0,2,1
0022300063,ATL,203991,Clint Capela,28.633333333333333,15,6,10,0,0,3,4,13,0,1,0,2,1
0022300063,ATL,1627749,Dejounte Murray,32.733333333333334,11,3,14,0,3,5,6,2,6,0,0,1,0
0022300063,ATL,1629027,Trae Young,36.016666666666666,23,4,19,1,9,14,15,1,9,1,0,5,3
0022300063,ATL,203992,Bogdan Bogdanović,24.433333333333334,7,3,9,1,5,0,0,4,4,3,0,0,1
0022300063,ATL,1630552,Jalen Johnson,29.4,21,9,13,1,3,2,4,7,2,2,1,0,1
0022300063,ATL,1631100,AJ Griffin,9.6,2,1,2,0,1,0,0,2,0,0,0,1,1
0022300063,ATL,1630168,Onyeka Okongwu,19.33333333333333,7,3,5,0,0,1,1,4,2,0,0,1,5
0022300063,CHA,202330,Gordon Hayward,33.333333333333336,10,4,8,0,1,2,3,8,7,1,1,6,1
0022300063,CHA,1629023,P.J. Washington,31.8,25,12,18,1,6,0,0,5,2,0,0,1,4
